t,x,y,z,vx,vy,vz,wx,wy,wz,ke_trans,ke_rot,pe,e_total,mode
0.000000,0.000000,4.997275,0.000000,0.000000,-0.163500,0.000000,0.000000,0.000000,0.000000,0.005747,0.000000,21.080005,21.085753,flying
0.016667,0.000000,4.991825,0.000000,0.000000,-0.327000,0.000000,0.000000,0.000000,0.000000,0.022990,0.000000,21.057015,21.080005,flying
0.033333,0.000000,4.983650,0.000000,0.000000,-0.490500,0.000000,0.000000,0.000000,0.000000,0.051727,0.000000,21.022531,21.074258,flying
0.050000,0.000000,4.972750,0.000000,0.000000,-0.654000,0.000000,0.000000,0.000000,0.000000,0.091959,0.000000,20.976551,21.068510,flying
0.066667,0.000000,4.959125,0.000000,0.000000,-0.817500,0.000000,0.000000,0.000000,0.000000,0.143686,0.000000,20.919077,21.062763,flying
0.083333,0.000000,4.942775,0.000000,0.000000,-0.981000,0.000000,0.000000,0.000000,0.000000,0.206908,0.000000,20.850108,21.057015,flying
0.100000,0.000000,4.923700,0.000000,0.000000,-1.144500,0.000000,0.000000,0.000000,0.000000,0.281624,0.000000,20.769644,21.051268,flying
0.116667,0.000000,4.901900,0.000000,0.000000,-1.308000,0.000000,0.000000,0.000000,0.000000,0.367836,0.000000,20.677685,21.045521,flying
0.133333,0.000000,4.877375,0.000000,0.000000,-1.471500,0.000000,0.000000,0.000000,0.000000,0.465542,0.000000,20.574231,21.039773,flying
0.150000,0.000000,4.850125,0.000000,0.000000,-1.635000,0.000000,0.000000,0.000000,0.000000,0.574743,0.000000,20.459282,21.034026,flying
0.166667,0.000000,4.820150,0.000000,0.000000,-1.798500,0.000000,0.000000,0.000000,0.000000,0.695439,0.000000,20.332839,21.028278,flying
0.183333,0.000000,4.787450,0.000000,0.000000,-1.962000,0.000000,0.000000,0.000000,0.000000,0.827630,0.000000,20.194900,21.022531,flying
0.200000,0.000000,4.752025,0.000000,0.000000,-2.125500,0.000000,0.000000,0.000000,0.000000,0.971316,0.000000,20.045467,21.016783,flying
0.216667,0.000000,4.713875,0.000000,0.000000,-2.289000,0.000000,0.000000,0.000000,0.000000,1.126497,0.000000,19.884539,21.011036,flying
0.233333,0.000000,4.673000,0.000000,0.000000,-2.452500,0.000000,0.000000,0.000000,0.000000,1.293173,0.000000,19.712116,21.005288,flying
0.250000,0.000000,4.629400,0.000000,0.000000,-2.616000,0.000000,0.000000,0.000000,0.000000,1.471343,0.000000,19.528198,20.999541,flying
0.266667,0.000000,4.583075,0.000000,0.000000,-2.779500,0.000000,0.000000,0.000000,0.000000,1.661008,0.000000,19.332785,20.993794,flying
0.283333,0.000000,4.534025,0.000000,0.000000,-2.943000,0.000000,0.000000,0.000000,0.000000,1.862169,0.000000,19.125878,20.988046,flying
0.300000,0.000000,4.482250,0.000000,0.000000,-3.106500,0.000000,0.000000,0.000000,0.000000,2.074824,0.000000,18.907475,20.982299,flying
0.316667,0.000000,4.427750,0.000000,0.000000,-3.270000,0.000000,0.000000,0.000000,0.000000,2.298973,0.000000,18.677578,20.976551,flying
0.333333,0.000000,4.370525,0.000000,0.000000,-3.433500,0.000000,0.000000,0.000000,0.000000,2.534618,0.000000,18.436186,20.970804,flying
0.350000,0.000000,4.310575,0.000000,0.000000,-3.597000,0.000000,0.000000,0.000000,0.000000,2.781758,0.000000,18.183299,20.965056,flying
0.366667,0.000000,4.247900,0.000000,0.000000,-3.760500,0.000000,0.000000,0.000000,0.000000,3.040392,0.000000,17.918917,20.959309,flying
