t,x,y,z,vx,vy,vz,wx,wy,wz,ke_trans,ke_rot,pe,e_total,mode
0.000000,0.000000,0.283553,0.176235,0.000000,10.413179,10.574082,0.000000,0.000000,0.000000,47.352787,0.000000,1.196112,48.548899,flying
0.016667,0.000000,0.453843,0.351879,0.000000,10.217410,10.538678,0.000000,0.000000,0.000000,46.323730,0.000000,1.914447,48.238177,flying
0.033333,0.000000,0.620888,0.526942,0.000000,10.022671,10.503778,0.000000,0.000000,0.000000,45.318404,0.000000,2.619090,47.937494,flying
0.050000,0.000000,0.784703,0.701432,0.000000,9.828938,10.469372,0.000000,0.000000,0.000000,44.336394,0.000000,3.310114,47.646508,flying
0.066667,0.000000,0.945306,0.875356,0.000000,9.636191,10.435453,0.000000,0.000000,0.000000,43.377296,0.000000,3.987586,47.364882,flying
0.083333,0.000000,1.102713,1.048723,0.000000,9.444408,10.402012,0.000000,0.000000,0.000000,42.440718,0.000000,4.651576,47.092294,flying
0.100000,0.000000,1.256939,1.221540,0.000000,9.253568,10.369039,0.000000,0.000000,0.000000,41.526281,0.000000,5.302148,46.828428,flying
0.116667,0.000000,1.408000,1.393816,0.000000,9.063650,10.336527,0.000000,0.000000,0.000000,40.633614,0.000000,5.939368,46.572982,flying
0.133333,0.000000,1.555911,1.565557,0.000000,8.874635,10.304468,0.000000,0.000000,0.000000,39.762360,0.000000,6.563299,46.325658,flying
0.150000,0.000000,1.700686,1.736771,0.000000,8.686503,10.272852,0.000000,0.000000,0.000000,38.912168,0.000000,7.174003,46.086171,flying
0.166667,0.000000,1.842340,1.907466,0.000000,8.499235,10.241672,0.000000,0.000000,0.000000,38.082701,0.000000,7.771542,45.854243,flying
0.183333,0.000000,1.980887,2.077648,0.000000,8.312812,10.210920,0.000000,0.000000,0.000000,37.273629,0.000000,8.355974,45.629604,flying
0.200000,0.000000,2.116340,2.247324,0.000000,8.127215,10.180587,0.000000,0.000000,0.000000,36.484634,0.000000,8.927358,45.411992,flying
0.216667,0.000000,2.248714,2.416502,0.000000,7.942426,10.150667,0.000000,0.000000,0.000000,35.715404,0.000000,9.485750,45.201154,flying
0.233333,0.000000,2.378021,2.585188,0.000000,7.758427,10.121150,0.000000,0.000000,0.000000,34.965638,0.000000,10.031207,44.996844,flying
0.250000,0.000000,2.504275,2.753388,0.000000,7.575202,10.092030,0.000000,0.000000,0.000000,34.235042,0.000000,10.563781,44.798823,flying
0.266667,0.000000,2.627487,2.921110,0.000000,7.392733,10.063299,0.000000,0.000000,0.000000,33.523332,0.000000,11.083527,44.606860,flying
0.283333,0.000000,2.747670,3.088359,0.000000,7.211003,10.034948,0.000000,0.000000,0.000000,32.830232,0.000000,11.590497,44.420728,flying
0.300000,0.000000,2.864837,3.255142,0.000000,7.029996,10.006972,0.000000,0.000000,0.000000,32.155471,0.000000,12.084741,44.240212,flying
0.316667,0.000000,2.978998,3.421464,0.000000,6.849696,9.979361,0.000000,0.000000,0.000000,31.498789,0.000000,12.566309,44.065098,flying
0.333333,0.000000,3.090166,3.587333,0.000000,6.670088,9.952110,0.000000,0.000000,0.000000,30.859932,0.000000,13.035249,43.895181,flying
0.350000,0.000000,3.198352,3.752753,0.000000,6.491156,9.925210,0.000000,0.000000,0.000000,30.238652,0.000000,13.491610,43.730262,flying
0.366667,0.000000,3.303567,3.917731,0.000000,6.312885,9.898654,0.000000,0.000000,0.000000,29.634710,0.000000,13.935437,43.570148,flying
0.383333,0.000000,3.405821,4.082271,0.000000,6.135261,9.872434,0.000000,0.000000,0.000000,29.047873,0.000000,14.366777,43.414650,flying
0.400000,0.000000,3.505126,4.246380,0.000000,5.958268,9.846545,0.000000,0.000000,0.000000,28.477913,0.000000,14.785673,43.263586,flying
0.416667,0.000000,3.601491,4.410063,0.000000,5.781894,9.820978,0.000000,0.000000,0.000000,27.924611,0.000000,15.192169,43.116779,flying
