t,x,y,z,vx,vy,vz,wx,wy,wz,ke_trans,ke_rot,pe,e_total,mode
0.000000,0.034073,0.217017,3.166210,2.044378,6.420997,9.972575,0.000000,0.000000,0.000000,31.145101,0.000000,0.915441,32.060542,flying
0.016667,0.068053,0.321061,3.331968,2.038827,6.242658,9.945495,0.000000,0.000000,0.000000,30.538701,0.000000,1.354331,31.893032,flying
0.033333,0.101942,0.422144,3.497280,2.033344,6.064969,9.918753,0.000000,0.000000,0.000000,29.949502,0.000000,1.780729,31.730230,flying
0.050000,0.135741,0.520276,3.662153,2.027930,5.887916,9.892342,0.000000,0.000000,0.000000,29.377274,0.000000,2.194679,31.571953,flying
0.066667,0.169451,0.615467,3.826590,2.022582,5.711485,9.866253,0.000000,0.000000,0.000000,28.821794,0.000000,2.596225,31.418019,flying
0.083333,0.203073,0.707728,3.990598,2.017299,5.535663,9.840481,0.000000,0.000000,0.000000,28.282846,0.000000,2.985410,31.268256,flying
0.100000,0.236607,0.797069,4.154182,2.012079,5.360435,9.815017,0.000000,0.000000,0.000000,27.760218,0.000000,3.362275,31.122493,flying
0.116667,0.270056,0.883499,4.317346,2.006920,5.185790,9.789855,0.000000,0.000000,0.000000,27.253704,0.000000,3.726862,30.980566,flying
0.133333,0.303420,0.967027,4.480096,2.001823,5.011714,9.764988,0.000000,0.000000,0.000000,26.763106,0.000000,4.079210,30.842317,flying
0.150000,0.336699,1.047664,4.642436,1.996784,4.838196,9.740408,0.000000,0.000000,0.000000,26.288229,0.000000,4.419360,30.707588,flying
0.166667,0.369896,1.125417,4.804371,1.991802,4.665223,9.716108,0.000000,0.000000,0.000000,25.828883,0.000000,4.747348,30.576231,flying
0.183333,0.403011,1.200297,4.965906,1.986877,4.492783,9.692082,0.000000,0.000000,0.000000,25.384885,0.000000,5.063213,30.448099,flying
0.200000,0.436044,1.272312,5.127045,1.982006,4.320866,9.668322,0.000000,0.000000,0.000000,24.956056,0.000000,5.366992,30.323048,flying
0.216667,0.468997,1.341469,5.287792,1.977188,4.149460,9.644821,0.000000,0.000000,0.000000,24.542222,0.000000,5.658720,30.200942,flying
