t,x,y,z,vx,vy,vz,wx,wy,wz,ke_trans,ke_rot,pe,e_total,mode
0.000000,0.112489,0.137437,0.000000,6.749327,1.646239,0.000000,0.000000,0.000000,0.000000,10.376656,0.000000,0.579752,10.956408,flying
0.016667,0.224801,0.162150,0.000000,6.738748,1.482756,0.000000,0.000000,0.000000,0.000000,10.235998,0.000000,0.683997,10.919995,flying
0.033333,0.336939,0.184142,0.000000,6.728258,1.319544,0.000000,0.000000,0.000000,0.000000,10.107290,0.000000,0.776768,10.884058,flying
0.050000,0.448903,0.203419,0.000000,6.717850,1.156600,0.000000,0.000000,0.000000,0.000000,9.990455,0.000000,0.858082,10.848538,flying
0.066667,0.560695,0.219984,0.000000,6.707519,0.993918,0.000000,0.000000,0.000000,0.000000,9.885416,0.000000,0.927960,10.813376,flying
0.083333,0.672316,0.233843,0.000000,6.697257,0.831495,0.000000,0.000000,0.000000,0.000000,9.792097,0.000000,0.986418,10.778515,flying
0.100000,0.783767,0.244998,0.000000,6.687060,0.669325,0.000000,0.000000,0.000000,0.000000,9.710426,0.000000,1.033475,10.743900,flying
0.116667,0.895049,0.253455,0.000000,6.676921,0.507408,0.000000,0.000000,0.000000,0.000000,9.640329,0.000000,1.069148,10.709477,flying
0.133333,1.006163,0.259217,0.000000,6.666834,0.345738,0.000000,0.000000,0.000000,0.000000,9.581735,0.000000,1.093455,10.675191,flying
0.150000,1.117109,0.262289,0.000000,6.656793,0.184314,0.000000,0.000000,0.000000,0.000000,9.534576,0.000000,1.106413,10.640989,flying
0.166667,1.227889,0.262675,0.000000,6.646792,0.023134,0.000000,0.000000,0.000000,0.000000,9.498780,0.000000,1.108040,10.606820,flying
0.183333,1.338503,0.260378,0.000000,6.636824,-0.137804,0.000000,0.000000,0.000000,0.000000,9.474281,0.000000,1.098352,10.572632,flying
0.200000,1.448951,0.255403,0.000000,6.626884,-0.298501,0.000000,0.000000,0.000000,0.000000,9.461010,0.000000,1.077366,10.538375,flying
0.216667,1.559234,0.247753,0.000000,6.616966,-0.458957,0.000000,0.000000,0.000000,0.000000,9.458900,0.000000,1.045099,10.503999,flying
0.233333,1.669352,0.237434,0.000000,6.607064,-0.619173,0.000000,0.000000,0.000000,0.000000,9.467885,0.000000,1.001568,10.469453,flying
0.250000,1.779305,0.224448,0.000000,6.597172,-0.779149,0.000000,0.000000,0.000000,0.000000,9.487898,0.000000,0.946789,10.434688,flying
0.266667,1.889093,0.208800,0.000000,6.587285,-0.938885,0.000000,0.000000,0.000000,0.000000,9.518873,0.000000,0.880781,10.399654,flying
0.283333,1.998716,0.190494,0.000000,6.577396,-1.098378,0.000000,0.000000,0.000000,0.000000,9.560744,0.000000,0.803560,10.364304,flying
0.300000,2.108174,0.169533,0.000000,6.567501,-1.257629,0.000000,0.000000,0.000000,0.000000,9.613445,0.000000,0.715142,10.328587,flying
