t,x,y,z,vx,vy,vz,wx,wy,wz,ke_trans,ke_rot,pe,e_total,mode
0.000000,0.000000,4.997318,0.000000,0.000000,-0.160903,0.000000,0.000000,0.000000,0.000000,0.005566,0.000000,21.080188,21.085754,flying
0.016667,0.000000,4.991955,0.000000,0.000000,-0.321800,0.000000,0.000000,0.000000,0.000000,0.022264,0.000000,21.057564,21.079828,flying
0.033333,0.000000,4.983910,0.000000,0.000000,-0.482680,0.000000,0.000000,0.000000,0.000000,0.050091,0.000000,21.023629,21.073719,flying
0.050000,0.000000,4.973185,0.000000,0.000000,-0.643531,0.000000,0.000000,0.000000,0.000000,0.089038,0.000000,20.978385,21.067424,flying
0.066667,0.000000,4.959779,0.000000,0.000000,-0.804340,0.000000,0.000000,0.000000,0.000000,0.139097,0.000000,20.921836,21.060933,flying
0.083333,0.000000,4.943694,0.000000,0.000000,-0.965098,0.000000,0.000000,0.000000,0.000000,0.200254,0.000000,20.853985,21.054239,flying
0.100000,0.000000,4.924931,0.000000,0.000000,-1.125791,0.000000,0.000000,0.000000,0.000000,0.272492,0.000000,20.774836,21.047328,flying
0.116667,0.000000,4.903491,0.000000,0.000000,-1.286408,0.000000,0.000000,0.000000,0.000000,0.355792,0.000000,20.684395,21.040187,flying
0.133333,0.000000,4.879375,0.000000,0.000000,-1.446937,0.000000,0.000000,0.000000,0.000000,0.450130,0.000000,20.582668,21.032798,flying
0.150000,0.000000,4.852586,0.000000,0.000000,-1.607368,0.000000,0.000000,0.000000,0.000000,0.555481,0.000000,20.469662,21.025143,flying
0.166667,0.000000,4.823124,0.000000,0.000000,-1.767688,0.000000,0.000000,0.000000,0.000000,0.671815,0.000000,20.345385,21.017200,flying
0.183333,0.000000,4.790993,0.000000,0.000000,-1.927887,0.000000,0.000000,0.000000,0.000000,0.799101,0.000000,20.209845,21.008946,flying
0.200000,0.000000,4.756194,0.000000,0.000000,-2.087951,0.000000,0.000000,0.000000,0.000000,0.937301,0.000000,20.063052,21.000353,flying
0.216667,0.000000,4.718729,0.000000,0.000000,-2.247871,0.000000,0.000000,0.000000,0.000000,1.086378,0.000000,19.905015,20.991393,flying
0.233333,0.000000,4.678602,0.000000,0.000000,-2.407634,0.000000,0.000000,0.000000,0.000000,1.246291,0.000000,19.735746,20.982037,flying
0.250000,0.000000,4.635815,0.000000,0.000000,-2.567229,0.000000,0.000000,0.000000,0.000000,1.416993,0.000000,19.555257,20.972250,flying
0.266667,0.000000,4.590371,0.000000,0.000000,-2.726645,0.000000,0.000000,0.000000,0.000000,1.598438,0.000000,19.363560,20.961998,flying
0.283333,0.000000,4.542273,0.000000,0.000000,-2.885871,0.000000,0.000000,0.000000,0.000000,1.790574,0.000000,19.160669,20.951244,flying
0.300000,0.000000,4.491525,0.000000,0.000000,-3.044895,0.000000,0.000000,0.000000,0.000000,1.993348,0.000000,18.946598,20.939946,flying
0.316667,0.000000,4.438129,0.000000,0.000000,-3.203707,0.000000,0.000000,0.000000,0.000000,2.206703,0.000000,18.721361,20.928065,flying
0.333333,0.000000,4.382091,0.000000,0.000000,-3.362294,0.000000,0.000000,0.000000,0.000000,2.430580,0.000000,18.484975,20.915555,flying
0.350000,0.000000,4.323414,0.000000,0.000000,-3.520647,0.000000,0.000000,0.000000,0.000000,2.664915,0.000000,18.237456,20.902371,flying
0.366667,0.000000,4.262101,0.000000,0.000000,-3.678753,0.000000,0.000000,0.000000,0.000000,2.909644,0.000000,17.978821,20.888465,flying
0.383333,0.000000,4.198158,0.000000,0.000000,-3.836603,0.000000,0.000000,0.000000,0.000000,3.164698,0.000000,17.709089,20.873787,flying
0.400000,0.000000,4.131588,0.000000,0.000000,-3.994186,0.000000,0.000000,0.000000,0.000000,3.430006,0.000000,17.428278,20.858284,flying
0.416667,0.000000,4.062397,0.000000,0.000000,-4.151489,0.000000,0.000000,0.000000,0.000000,3.705496,0.000000,17.136407,20.841903,flying
0.433333,0.000000,3.990588,0.000000,0.000000,-4.308504,0.000000,0.000000,0.000000,0.000000,3.991090,0.000000,16.833498,20.824588,flying
0.450000,0.000000,3.916168,0.000000,0.000000,-4.465219,0.000000,0.000000,0.000000,0.000000,4.286709,0.000000,16.519571,20.806280,flying
0.466667,0.000000,3.839141,0.000000,0.000000,-4.621624,0.000000,0.000000,0.000000,0.000000,4.592273,0.000000,16.194647,20.786920,flying
0.483333,0.000000,3.759512,0.000000,0.000000,-4.777708,0.000000,0.000000,0.000000,0.000000,4.907696,0.000000,15.858751,20.766447,flying
0.500000,0.000000,3.677288,0.000000,0.000000,-4.933461,0.000000,0.000000,0.000000,0.000000,5.232894,0.000000,15.511904,20.744797,flying
0.516667,0.000000,3.592473,0.000000,0.000000,-5.088873,0.000000,0.000000,0.000000,0.000000,5.567776,0.000000,15.154130,20.721906,flying
0.533333,0.000000,3.505074,0.000000,0.000000,-5.243934,0.000000,0.000000,0.000000,0.000000,5.912251,0.000000,14.785456,20.697707,flying
0.550000,0.000000,3.415097,0.000000,0.000000,-5.398633,0.000000,0.000000,0.000000,0.000000,6.266226,0.000000,14.405905,20.672131,flying
0.566667,0.000000,3.322548,0.000000,0.000000,-5.552960,0.000000,0.000000,0.000000,0.000000,6.629605,0.000000,14.015504,20.645109,flying
0.583333,0.000000,3.227433,0.000000,0.000000,-5.706907,0.000000,0.000000,0.000000,0.000000,7.002289,0.000000,13.614280,20.616569,flying
0.600000,0.000000,3.129758,0.000000,0.000000,-5.860462,0.000000,0.000000,0.000000,0.000000,7.384178,0.000000,13.202260,20.586438,flying
0.616667,0.000000,3.029531,0.000000,0.000000,-6.013616,0.000000,0.000000,0.000000,0.000000,7.775170,0.000000,12.779473,20.554643,flying
0.633333,0.000000,2.926759,0.000000,0.000000,-6.166361,0.000000,0.000000,0.000000,0.000000,8.175161,0.000000,12.345947,20.521108,flying
0.650000,0.000000,2.821447,0.000000,0.000000,-6.318685,0.000000,0.000000,0.000000,0.000000,8.584043,0.000000,11.901712,20.485755,flying
0.666667,0.000000,2.713604,0.000000,0.000000,-6.470581,0.000000,0.000000,0.000000,0.000000,9.001709,0.000000,11.446797,20.448506,flying
0.683333,0.000000,2.603237,0.000000,0.000000,-6.622038,0.000000,0.000000,0.000000,0.000000,9.428047,0.000000,10.981235,20.409282,flying
0.700000,0.000000,2.490353,0.000000,0.000000,-6.773047,0.000000,0.000000,0.000000,0.000000,9.862947,0.000000,10.505056,20.368003,flying
0.716667,0.000000,2.374960,0.000000,0.000000,-6.923601,0.000000,0.000000,0.000000,0.000000,10.306293,0.000000,10.018292,20.324585,flying
0.733333,0.000000,2.257065,0.000000,0.000000,-7.073689,0.000000,0.000000,0.000000,0.000000,10.757971,0.000000,9.520977,20.278948,flying
0.750000,0.000000,2.136676,0.000000,0.000000,-7.223303,0.000000,0.000000,0.000000,0.000000,11.217863,0.000000,9.013142,20.231005,flying
0.766667,0.000000,2.013803,0.000000,0.000000,-7.372435,0.000000,0.000000,0.000000,0.000000,11.685850,0.000000,8.494823,20.180674,flying
0.783333,0.000000,1.888451,0.000000,0.000000,-7.521075,0.000000,0.000000,0.000000,0.000000,12.161813,0.000000,7.966054,20.127867,flying
0.800000,0.000000,1.760631,0.000000,0.000000,-7.669216,0.000000,0.000000,0.000000,0.000000,12.645629,0.000000,7.426870,20.072498,flying
0.816667,0.000000,1.630350,0.000000,0.000000,-7.816850,0.000000,0.000000,0.000000,0.000000,13.137174,0.000000,6.877306,20.014480,flying
0.833333,0.000000,1.497617,0.000000,0.000000,-7.963967,0.000000,0.000000,0.000000,0.000000,13.636326,0.000000,6.317399,19.953725,flying
0.850000,0.000000,1.362441,0.000000,0.000000,-8.110561,0.000000,0.000000,0.000000,0.000000,14.142957,0.000000,5.747186,19.890144,flying
0.866667,0.000000,1.224831,0.000000,0.000000,-8.256623,0.000000,0.000000,0.000000,0.000000,14.656942,0.000000,5.166705,19.823646,flying
0.883333,0.000000,1.084795,0.000000,0.000000,-8.402146,0.000000,0.000000,0.000000,0.000000,15.178151,0.000000,4.575992,19.754143,flying
0.900000,0.000000,0.942343,0.000000,0.000000,-8.547121,0.000000,0.000000,0.000000,0.000000,15.706456,0.000000,3.975086,19.681543,flying
0.916667,0.000000,0.797484,0.000000,0.000000,-8.691543,0.000000,0.000000,0.000000,0.000000,16.241728,0.000000,3.364027,19.605755,flying
